"plot"	"ba.sum"	"areaha"	"treatment"	"baha"	"dm.length"	"densha"	"dm.sum"	"dd.sum"	"dm.mean"	"dd.mean"	"amd"	"qmd"
11	0.993838712622773	0.04	2.5	24.8459678155693	64	1600	8788.5	1265394.75	137.3203125	19771.79296875	13.73203125	14.0612207751496
12	1.02525640630454	0.0324	2	31.6437162439673	72	2222.22222222222	9513	1305397	132.125	18130.5138888889	13.2125	13.4649596690406
13	0.968972417720987	0.0288	1.5	33.6448756153121	82	2847.22222222222	9815	1233734	119.69512195122	15045.5365853659	11.969512195122	12.2660248594913
14	0.963524896059663	0.0288	1	33.4557255576272	108	3750	10951	1226798	101.398148148148	11359.2407407407	10.1398148148148	10.6579738884746
21	1.04374801701311	0.04	2.5	26.0937004253277	62	1550	8903.5	1328941.25	143.604838709677	21434.5362903226	14.3604838709677	14.6405383406221
22	1.04569482271063	0.0324	2	32.2745315651429	80	2469.13580246914	10091	1331420	126.1375	16642.75	12.61375	12.9006782767419
23	0.953649495902644	0.0288	1.5	33.1128297188418	75	2604.16666666667	9323.5	1214224.25	124.313333333333	16189.6566666667	12.4313333333333	12.7238581675004
24	0.903224381268497	0.0288	1	31.3619576829339	109	3784.72222222222	10765	1150021	98.7614678899083	10550.6513761468	9.87614678899083	10.2716363721399
