"plot"	"nr"	"voldm3.1980"	"voldm3.1987"
21	60	123.28	209.54
21	62	82.9	141.72
21	64	79.71	122.58
21	66	94.14	129.66
21	67	78.02	123.45
21	69	82.26	143.61
21	7	107.3	144.49
21	71	102.42	127.1
21	73	79.09	116.71
21	75	115.49	168.1
21	77	86.13	145.38
21	79	100.28	116.42
21	80	146.06	226.72
21	82	99.65	143.61
21	84	100.36	165.24
22	100	48.05	59.69
22	105	49.51	93.8
22	107	106.05	223.01
22	111	126.06	235.11
22	114	68.45	114.44
22	117	111.36	183.89
22	119	70.84	151.44
22	125	100.12	194.64
22	132	172.23	301.49
22	134	93.2	169.37
22	137	115.92	194.66
22	139	120.58	224.04
22	14	116.64	195.55
22	142	87	122.07
22	144	62.05	107.7
22	16	118.18	202.17
22	18	73.27	155.53
22	23	186.43	318.24
22	25	70.25	130.32
22	27	91.84	152.49
22	29	85.76	151.66
22	33	111.35	184.99
22	35	100.95	187.12
22	37	166.78	258.81
22	43	137.52	254.12
22	44	114.39	166.66
22	46	63.23	137.56
22	5	129.32	206.84
22	53	57.08	78.29
22	54	110.55	192.43
22	56	106.88	170.35
22	58	137.57	238.67
22	61	111.24	189.17
22	63	112.86	195.77
22	65	148.85	237.51
22	66	113.63	191.41
22	73	88.99	177.61
22	75	59.29	94.55
22	78	70.82	115.2
22	83	48.05	79.58
22	86	98.8	172.42
22	87	78.27	130.32
22	9	43.74	76.49
22	92	62.09	110.29
22	93	111.32	176.52
22	95	44.21	66.42
22	98	147.13	256.55
23	1	77.27	145.23
23	10	118.03	225.16
23	101	105.39	187.25
23	110	147.65	265.67
23	131	44.13	77.2
23	137	139.38	267.98
23	144	124.41	215.47
23	146	89.09	159.88
23	148	51.41	77.51
23	150	114.9	192.67
23	152	64.68	115.31
23	165	103.17	226.49
23	174	94.61	142.88
23	179	64.65	121.61
23	183	114.07	219.22
23	193	51.9	93.98
23	201	103.17	175.35
23	209	45.53	87.19
23	220	84.39	161.88
23	228	52.42	85.64
23	231	87.73	154.89
23	236	111.06	158.88
23	238	68.16	124.63
23	245	87.05	140.02
23	247	65.23	136.77
23	249	103.21	151
23	251	141.89	255.21
23	257	98.09	155.81
23	264	90.45	176.59
23	266	48.92	96.36
23	282	163.8	347.62
23	285	98.15	165.93
23	36	101.03	176.54
23	39	130.95	227.77
23	41	94.53	209.48
23	44	57.37	104.8
23	47	98	147.81
23	49	66.97	118.18
23	56	52.4	79.59
23	58	135.13	261.42
23	6	148.52	261.42
23	75	89.05	180.82
23	79	64.1	76.22
23	92	86.35	154.92
23	95	113.35	226.43
23	97	49.41	71.7
24	115	46.39	93.21
24	122	58.71	94.76
24	16	63.03	104.64
24	168	60.34	99.03
24	172	100.94	169.08
24	177	116.1	193.09
24	19	46.86	51.61
24	191	74.69	143.18
24	196	69.88	95.99
24	207	54	69.18
24	21	113.03	194.25
24	212	71.11	99.05
24	214	137.21	306.87
24	220	120.06	195.38
24	231	111.38	207.89
24	241	48.8	90.87
24	25	43.97	48.95
24	255	48.8	97.14
24	268	101.67	216.11
24	279	66.46	135.62
24	281	74.05	145.93
24	294	41.24	59.25
24	298	124.07	202.17
24	317	53.32	74.35
24	324	85.06	163.87
24	340	80.48	169.03
24	353	94.59	154.77
24	367	69.94	94.66
24	369	50.29	95.29
24	376	39.03	44.94
24	38	80.5	126.36
24	387	51.79	68.54
24	391	88.4	172.16
24	395	65.33	105.45
24	398	57.64	108.67
24	4	44.81	52.51
24	412	60.89	107.05
24	421	44.01	54.72
24	432	57.11	76.31
24	440	69.35	123.76
24	450	52.81	96.35
24	458	103.16	206.67
24	461	33.49	39.22
24	466	40.37	50.03
24	469	66.44	153.72
24	506	53.98	115.76
24	512	98.8	173.19
24	61	104.56	194.18
24	72	54.51	102.23
24	78	94.58	169.08
24	81	33.11	38.73
24	87	102.43	120.32
24	92	86.34	160.75
24	98	127.23	227.7
